slug,name_zh,name_en,gender,birth_date,birth_date_precision,birth_date_text,death_date,status,birthplace,current_location,father_slug,mother_slug,intro,tags,is_featured,primary_source_ids,evidence_status,review_status,notes
qin-qin-qinling,秦秦,Qin Qin,female,2013-07-18,day,July 18 2013,,alive,"Qinling Giant Panda Research Center, Shaanxi, China","Qinling Giant Panda Research Center, Shaanxi, China",,,"Shaanxi's first fully artificially raised giant panda, later mother of twins in 2020 and 2022.","qinling;lineage-anchor;current-china",false,src_chinaeco_qinqin_2023,partial,draft,"Birthday and breeding role source-backed; parents and cub names still need holder/studbook source."
yong-yong-qinling,永永,Yong Yong,female,2014-06-25,day,June 25 2014,,alive,"Qinling Giant Panda Research Center, Shaanxi, China","SWARC Louguantai, Shaanxi Province, China",,lou-sheng,"Daughter of Lou Sheng who became a mother in 2020; likely same female listed by GPG at SWARC Louguantai.","qinling;lineage-placeholder;current-china;gpg-index",false,src_chinanews_lousheng_birthday_2023;src_gpg_meet_world_page_13,partial,draft,"Relationship and motherhood milestone from China News; birth date/current holder rely on secondary GPG and need studbook confirmation."
yun-chuan,云川,Yun Chuan,male,2019-07-28,day,July 28 2019,,alive,"China Conservation and Research Center for the Giant Panda","San Diego Zoo, San Diego",,zhen-zhen,"Male San Diego Zoo panda; mother Zhen Zhen was born at San Diego Zoo in 2007.","san-diego;current-us",true,src_sandiego_giant_pandas;src_sandiego_panda_cam;src_sandiego_best_is_yet;src_china_gov_sandiego;src_gpg_sandiego_profiles,partial,draft,"Exact birth date currently comes from secondary database; keep partial until official holder confirms."
xin-bao,鑫宝,Xin Bao,female,2020-07-23,day,July 23 2020,,alive,"Wolong Shenshuping Panda Base, Sichuan, China","San Diego Zoo, San Diego",,,"Female San Diego Zoo panda from Wolong Shenshuping Panda Base.","san-diego;current-us",true,src_sandiego_giant_pandas;src_sandiego_panda_cam;src_sandiego_best_is_yet;src_china_gov_sandiego;src_gpg_sandiego_profiles,partial,draft,"Chinese characters and exact birth date need primary confirmation."
yuan-yuan-sandiego,元元,Yuan Yuan,male,,year_text,1978,,deceased,China,"Fuzhou Panda World, Fuzhou, Fujian Province, China",,,"Male giant panda that visited San Diego Zoo with Basi for 100 days in 1987; PandaNews lists July 1995 death at Fuzhou Panda World.","san-diego;fuzhou-panda-world;historic-overseas;deceased;gpg-index",false,src_gpg_sandiego_profiles;src_gpg_fuzhou_profiles;src_pandanews_yuanyuan_282,needs_primary_source,draft,"Death month comes from secondary PandaNews; exact death day and primary archival source still needed."
basi-sandiego,巴斯,Basi,female,,year_text,1980,2017-09-13,deceased,"Baoxing County, Sichuan Province, China","Strait Panda Research and Exchange Center, Fuzhou, Fujian Province, China",,,"Female giant panda, prototype of the 1990 Asian Games mascot Pan Pan, and 1987 San Diego Zoo visiting panda.","san-diego;historic-overseas;deceased;fuzhou-panda-world",false,src_gpg_sandiego_profiles;src_chinadaily_basi_death,partial,draft,"Death date and Fuzhou center context are official-media-backed; San Diego visit still relies on secondary discovery row."
shi-shi,石石,Shi Shi,male,,year_text,1982,2008-07-05,deceased,"wildborn, Sichuan, China","Guangzhou Zoo, China",,,"San Diego Zoo legacy male and father of Hua Mei through artificial insemination.","san-diego;guangzhou-zoo;lineage-anchor;deceased;gpg-index",false,src_sandiego_harmony;src_sandiego_ai_procedure;src_gpg_sandiego_profiles;src_gpg_guangzhou_profiles,partial,draft,"GPG Guangzhou page lists Shi Shi as a previous Guangzhou Zoo panda. Death date and birth year still need primary archival confirmation."
bai-yun,白云,Bai Yun,female,1991-09-07,day,September 7 1991,,alive,"CCRCGP Wolong, Sichuan, China","CCRCGP Dujiangyan Base, China",,,"San Diego Zoo legacy female and mother of Hua Mei plus later cubs with Gao Gao.","san-diego;lineage-anchor",false,src_sandiego_harmony;src_gpg_sandiego_profiles,partial,draft,"Exact birth date and current facility currently rely on secondary database."
gao-gao,高高,Gao Gao,male,,year_text,"estimated September 1992",2025-11-24,deceased,"wildborn, Baoxing, Sichuan, China","CCRCGP Sichuan, China",,,"San Diego Zoo legacy male and father of Mei Sheng, Su Lin, Zhen Zhen, Yun Zi, and Xiao Liwu.","san-diego;lineage-anchor;deceased",false,src_sandiego_harmony;src_gpg_sandiego_profiles;src_chinadaily_gaogao_death,partial,draft,"Death date verified from CCRCGP/China Daily; exact birth day remains estimated."
hua-mei,华美,Hua Mei,female,1999-08-21,day,August 21 1999,,alive,"San Diego Zoo, United States","CCRCGP Dujiangyan Base, China",shi-shi,bai-yun,"Historic San Diego Zoo cub described as the first cub born outside China through artificial insemination.","san-diego;historic;lineage-anchor",false,src_sandiego_harmony;src_sandiego_ai_procedure;src_gpg_sandiego_profiles,partial,draft,"Current facility currently relies on secondary database."
zhen-zhen,珍珍,Zhen Zhen,female,2007-08-03,day,August 3 2007,,alive,"San Diego Zoo, United States","CCRCGP Wolong Gengda Base, Wolong, Sichuan Province, China",gao-gao,bai-yun,"San Diego Zoo-born female and mother of Yun Chuan; later listed at CCRCGP Wolong Gengda Base in a secondary current index.","san-diego;lineage-anchor;ccrcgp-wolong-gengda-base;gpg-index",false,src_sandiego_giant_pandas;src_sandiego_harmony;src_gpg_sandiego_profiles;src_gpg_wolong_gengda_profiles,partial,draft,"San Diego sources verify core lineage context; exact birth date and current Gengda facility currently rely on secondary database."
mei-sheng,美生,Mei Sheng,male,2003-08-19,day,August 19 2003,,alive,"San Diego Zoo, United States","CCRCGP Ya'an Base, China",gao-gao,bai-yun,"First San Diego Zoo cub of Gao Gao and Bai Yun; returned to China in 2007.","san-diego;returned-to-china;locally-born",false,src_sandiego_panda_cubs_individuals;src_gpg_sandiego_profiles,partial,draft,"Exact birth date/current facility from secondary database; official San Diego source confirms cub sequence."
su-lin-sandiego,苏琳,Su Lin,female,2005-08-02,day,August 2 2005,,alive,"San Diego Zoo, United States","CCRCGP Dujiangyan Base, China",gao-gao,bai-yun,"San Diego Zoo-born female cub of Gao Gao and Bai Yun; returned to China in 2010.","san-diego;returned-to-china;locally-born",false,src_sandiego_panda_cubs_individuals;src_gpg_sandiego_profiles,partial,draft,"Slug disambiguated from historical Su Lin; exact current facility from secondary database."
yun-zi,云子,Yun Zi,male,2009-08-05,day,August 5 2009,,alive,"San Diego Zoo, United States","Shijiazhuang Zoo, Shijiazhuang, Hebei Province, China",gao-gao,bai-yun,"San Diego Zoo-born male cub of Gao Gao and Bai Yun; returned to China in 2014 and is listed at Shijiazhuang Zoo.","san-diego;returned-to-china;locally-born;shijiazhuang-zoo;gpg-index",false,src_sandiego_panda_cubs_individuals;src_gpg_sandiego_profiles;src_gpg_shijiazhuang_profiles,partial,draft,"Current facility from secondary databases; primary current-holder confirmation still needed."
xiao-liwu,小礼物,Xiao Liwu,male,2012-07-29,day,July 29 2012,,alive,"San Diego Zoo, United States","Jiawuhai Conservation and Research Park, Jiuzhaigou, China",gao-gao,bai-yun,"Sixth cub born to Bai Yun and fifth cub of Gao Gao at San Diego Zoo; returned to China in 2019.","san-diego;returned-to-china;locally-born",false,src_sandiego_harmony;src_gpg_sandiego_profiles,partial,draft,"Current facility from secondary database."
mei-ling-huamei,美灵,Mei Ling,male,2004-09-01,day,September 1 2004,,alive,"Wolong, Sichuan, China","CCRCGP Mianyang Base, Mianyang, Sichuan Province, China",,hua-mei,"Male twin son of Hua Mei reportedly transferred to Nanchang Zoo and later listed at CCRCGP Mianyang Base.","hua-mei-descendant;nanjing-hongshan-forest-zoo;ccrcgp-mianyang-base;discovery-only;twin;gpg-index",false,src_pandatribe_huamei_profile;src_gpg_nanjing_hongshan_profiles;src_gpg_ccrcgp_mianyang_profiles,needs_primary_source,draft,"Mianyang current-location remains secondary until studbook or primary holder confirmation."
ting-ting-huamei,婷婷,Ting Ting,female,2005-08-29,day,August 29 2005,,alive,"Wolong, Sichuan, China","Guangzhou Chimelong Safari Park, China",,hua-mei,"Female twin daughter of Hua Mei; also appears in Chimelong secondary discovery index.","hua-mei-descendant;discovery-only;twin;chimelong-safari-park;gpg-index",false,src_pandatribe_huamei_profile;src_gpg_chimelong_profiles,needs_primary_source,draft,"Needs official studbook/base confirmation."
wei-wei-huamei,伟伟,Wei Wei,male,2005-08-29,day,August 29 2005,,alive,"Wolong, Sichuan, China","CCRCGP Dujiangyan Base, China",,hua-mei,"Male twin son of Hua Mei and former Wuhan Zoo giant panda.","hua-mei-descendant;wuhan-zoo;discovery-only;twin;gpg-index",false,src_pandatribe_huamei_profile;src_gpg_wuhan_profiles,needs_primary_source,draft,"Needs official studbook/base confirmation."
hua-long,华龙,Hua Long,male,2007-07-16,day,July 16 2007,,alive,"Wolong, Sichuan, China","Yueyang China Giant Panda Park, China",,hua-mei,"Male twin son of Hua Mei.","hua-mei-descendant;discovery-only;twin",false,src_pandatribe_huamei_profile,needs_primary_source,draft,"Needs official studbook/base confirmation."
hua-ao,华奥,Hua Ao,male,2007-07-16,day,July 16 2007,,alive,"Wolong, Sichuan, China","Jinan Zoo, China",,hua-mei,"Male twin son of Hua Mei; secondary indexes also list Jinan and Jilin Siberian Tiger Park associations.","hua-mei-descendant;discovery-only;twin;jilin-siberian-tiger-park",false,src_pandatribe_huamei_profile;src_gpg_jilin_tiger_profiles,needs_primary_source,draft,"Needs official studbook/base confirmation."
yang-hu,阳虎,Yang Hu,male,2010-09-17,day,September 17 2010,2012-02-07,deceased,"Ya'an Bifengxia Base, Sichuan, China",China,,hua-mei,"Male cub of Hua Mei that reportedly died young.","hua-mei-descendant;discovery-only;deceased",false,src_pandatribe_huamei_profile;src_chinadaily_huamei_8th_cub,partial,draft,"China Daily/Xinhua confirms Hua Mei's unnamed male eighth cub born on this date; Yang Hu name and death still need studbook/base confirmation."
jia-jia-huamei,嘉嘉,Jia Jia,female,2012-08-05,day,August 5 2012,,alive,"Ya'an Bifengxia Base, Sichuan, China","Shanghai Wild Animal Park, China",,hua-mei,"Female cub of Hua Mei reportedly transferred to Shanghai Wild Animal Park.","hua-mei-descendant;discovery-only",false,src_pandatribe_huamei_profile,needs_primary_source,draft,"Uses suffix to avoid collision with Hong Kong/Singapore Jia Jia records."
hua-rong,华荣,Hua Rong,male,2013-07-18,day,July 18 2013,,alive,"Ya'an Bifengxia Base, Sichuan, China","Qingshen International Bamboo Art City Panda Pavilion, China",,hua-mei,"Male cub of Hua Mei, later mentioned at Qingshen Panda Pavilion in a low-confidence travel listing.","hua-mei-descendant;china-bamboo-art-city;discovery-only",false,src_pandatribe_huamei_profile;src_trip_qingshen_panda_pavilion_2026,needs_primary_source,draft,"Needs official studbook/base confirmation; Trip.com listing only supports current-location discovery."
yi-yi-huamei,壹壹,Yi Yi,male,2018-07-02,day,July 2 2018,,alive,"Ya'an Bifengxia Base, Sichuan, China","China Conservation and Research Center for the Giant Panda, Sichuan",,hua-mei,"Male twin cub of Hua Mei born in 2018; later one of the Hangzhou pandas returned to CCRCGP after the 2026 Hangzhou closures.","hua-mei-descendant;discovery-only;twin;hangzhou-returned;shanghai-wild-animal-park;gpg-index",false,src_pandatribe_huamei_profile;src_cctv_hangzhou_deaths_2026;src_gpg_hangzhou_deaths_2026;src_gpg_shanghai_profiles,needs_primary_source,draft,"Identity merge is based on matching name and birth date from secondary sources; GPG Shanghai Wild Animal Park page lists a 2018-07-02 male Yi Yi in previous pandas. Needs official studbook/base confirmation."
jiu-jiu-huamei,玖玖,Jiu Jiu,female,2018-07-02,day,July 2 2018,,alive,"Ya'an Bifengxia Base, Sichuan, China","Yangzhou Expo Park, Yizheng, Yangzhou, Jiangsu Province, China",,hua-mei,"Female twin cub of Hua Mei born in 2018 and listed at Yangzhou Expo Park.","hua-mei-descendant;yangzhou-expo-park;discovery-only;twin;gpg-index",false,src_pandatribe_huamei_profile;src_gpg_yangzhou_expo_profiles;src_gpg_meet_world_page_16,needs_primary_source,draft,"Uses suffix to avoid collision with Madrid Jiu Jiu; current location remains secondary until primary holder/studbook confirmation."
meng-meng-huamei,盟盟,Meng Meng,female,2019-10-17,day,October 17 2019,,alive,"Ya'an Bifengxia Base, Sichuan, China","Wuhan Zoo, China",,hua-mei,"Female twin cub of Hua Mei born in 2019.","hua-mei-descendant;discovery-only;twin",false,src_pandatribe_huamei_profile,needs_primary_source,draft,"Uses suffix to avoid collision with Berlin/Beijing Meng Meng records."
jin-du-du,金嘟嘟,Jin Du Du,female,2019-10-17,day,October 17 2019,,alive,"Ya'an Bifengxia Base, Sichuan, China","CCRCGP Dujiangyan Base, China",,hua-mei,"Female twin cub of Hua Mei born in 2019.","hua-mei-descendant;discovery-only;twin",false,src_pandatribe_huamei_profile,needs_primary_source,draft,"Needs official studbook/base confirmation."
ban-ban-hangzhou,半半,Ban Ban,female,2016-10-04,day,October 4 2016,2026-02-09,deceased,"Shanghai Wild Animal Park, China","Hangzhou Safari Park, China",,,"Female giant panda born at Shanghai Wild Animal Park and later held at Hangzhou Safari Park; died after illness in February 2026.","shanghai-born;shanghai-wild-animal-park;hangzhou-safari-park;deceased;twin;gpg-index",false,src_cctv_hangzhou_deaths_2026;src_gpg_hangzhou_deaths_2026;src_shanghai_twins_public_debut_2026;src_gpg_shanghai_profiles,partial,draft,"Death details from official notice; Shanghai source confirms 2016 twin birth with Yue Yue; GPG Shanghai page also lists Ban Ban as a deceased previous Shanghai-born panda."
xiang-guo,香果,Xiang Guo,female,2020-07-06,day,July 6 2020,2026-02-10,deceased,China,"Hangzhou Zoo, China",,,"Female giant panda at Hangzhou Zoo who died after illness in February 2026.","hangzhou-zoo;deceased",false,src_cctv_hangzhou_deaths_2026;src_gpg_hangzhou_deaths_2026,partial,draft,"Death details from official notice; birth date from secondary database."
chun-sheng,春生,Chun Sheng,male,2020-03-21,day,March 21 2020,,alive,"Chengdu Panda Base, China","Chengdu Research Base of Giant Panda Breeding, China",,,"Male giant panda formerly in Hangzhou Zoo and returned to Chengdu Base after the 2026 Hangzhou closures.","hangzhou-zoo;returned-to-chengdu",false,src_cctv_hangzhou_deaths_2026;src_gpg_hangzhou_deaths_2026,partial,draft,"Birth date and Hangzhou Zoo listing from secondary database; return destination from official notice."
qian-qian,芊芊,Qian Qian,female,2006-09-11,day,September 11 2006,,alive,China,"CCRCGP Ya'an Base, Ya'an, Sichuan Province, China",,,"Female giant panda captured as mother of Qianzhen and lineage anchor for the Shanghai Qian family.","shanghai-lineage;lineage-placeholder;ccrcgp-yaan-base;yunnan-wild-animal-park;gpg-index",false,src_chinanews_qianzhen_debut_2026;src_gpg_meet_world_page_6;src_gpg_yunnan_profiles,partial,draft,"China News identifies Qianzhen as Qian Qian's daughter; GPG secondary indexes supply birth date/current base and Yunnan transfer context, still needing holder or studbook source."
qian-jin,芊金,Qianjin,female,2017-10-10,day,October 10 2017,,alive,"Shanghai Wild Animal Park, China","Shanghai Wild Animal Park, China",,,"Female giant panda born at Shanghai Wild Animal Park; mother of Shanghai's 2025 second-generation twin cubs Qianran and Qianyi.","shanghai-wild-animal-park;current-china;locally-born;lineage-anchor",false,src_shanghai_twins_birth_2025;src_shanghai_twins_public_debut_2026;src_gpg_shanghai_profiles,verified,draft,"Qianzhen source identifies Qianjin as Qianzhen's sister, but shared parentage is not modeled until confirmed by a stronger profile or studbook source."
qian-ran,芊然,Qianran / Qian Ran,female,2025-08-22,day,August 22 2025,,alive,"Shanghai Wild Animal Park, China","Shanghai Wild Animal Park, China",,qian-jin,"Female elder cub of Qianjin's 2025 opposite-sex twins at Shanghai Wild Animal Park.","shanghai-wild-animal-park;current-china;locally-born;twin;second-generation;gpg-index",false,src_shanghai_twins_birth_2025;src_xinhua_shanghai_twins_named_2025;src_shanghai_twins_public_debut_2026;src_gpg_shanghai_profiles;src_gpg_meet_world_page_19,verified,draft,"Born at 16:11 according to Shanghai municipal reporting. GPG lists this cub as Qian Ran with 2025-08-02 birth date, treated as a secondary date conflict against official Shanghai/Xinhua 2025-08-22."
qian-yi,芊逸,Qianyi / Qian Yi,male,2025-08-22,day,August 22 2025,,alive,"Shanghai Wild Animal Park, China","Shanghai Wild Animal Park, China",,qian-jin,"Male younger cub of Qianjin's 2025 opposite-sex twins at Shanghai Wild Animal Park.","shanghai-wild-animal-park;current-china;locally-born;twin;second-generation;gpg-index",false,src_shanghai_twins_birth_2025;src_xinhua_shanghai_twins_named_2025;src_shanghai_twins_public_debut_2026;src_gpg_shanghai_profiles;src_gpg_meet_world_page_19,verified,draft,"Born at 17:17 according to Shanghai municipal reporting. GPG lists this cub as Qian Yi with 2025-08-02 birth date, treated as a secondary date conflict against official Shanghai/Xinhua 2025-08-22."
qian-zhen,芊真,Qianzhen,female,2020-07-26,day,July 26 2020,,alive,Sichuan,"Shanghai Wild Animal Park, China",,qian-qian,"Female giant panda transferred from CCRCGP Sichuan to Shanghai Wild Animal Park in February 2026 and first shown publicly in April 2026.","shanghai-wild-animal-park;current-china;ccrcgp-transfer",false,src_shanghai_qianzhen_arrival_2026;src_chinanews_qianzhen_debut_2026;src_gpg_shanghai_profiles,verified,draft,"China News identifies Qianzhen as Qian Qian's daughter, Qianjin's sister, and aunt of Qianran and Qianyi."
qi-qi-shanghai,七七,Qi Qi,female,2018-07-17,day,July 17 2018,,alive,"Shanghai Wild Animal Park, China","Sichuan, China",,,"Female giant panda born at Shanghai Wild Animal Park; returned to Sichuan on 2026-01-07 under giant panda conservation arrangements.","shanghai-wild-animal-park;returned-to-sichuan;locally-born",false,src_thepaper_qiqi_return_2026;src_gpg_shanghai_profiles,partial,draft,"Exact receiving base in Sichuan is not yet confirmed in the reviewed source."
yue-yue-shanghai,月月,Yue Yue,male,2016-10-04,day,October 4 2016,,alive,"Shanghai Wild Animal Park, China",China,,,"Male twin sibling of Ban Ban from Shanghai Wild Animal Park's 2016 opposite-sex twin birth.","shanghai-wild-animal-park;locally-born;twin;historical",false,src_shanghai_twins_public_debut_2026;src_gpg_shanghai_profiles,partial,draft,"Shanghai municipal article confirms Yue Yue/Ban Ban twin context; current location still needs primary confirmation."
lun-lun,伦伦,Lun Lun,female,1997-08-25,day,August 25 1997,,alive,"Chengdu Research Base of Giant Panda Breeding, China","Chengdu Research Base of Giant Panda Breeding, China",,,"Former Zoo Atlanta female and mother of seven offspring.","zoo-atlanta;returned-to-china;lineage-anchor",false,src_zooatlanta_lun_lun,verified,draft,"Departed Zoo Atlanta for China on 2024-10-12."
yang-yang,洋洋,Yang Yang,male,1997-09-09,day,September 9 1997,,alive,"Chengdu Research Base of Giant Panda Breeding, China","Chengdu Research Base of Giant Panda Breeding, China",,,"Former Zoo Atlanta male and father of seven offspring.","zoo-atlanta;returned-to-china;lineage-anchor",false,src_zooatlanta_yang_yang,verified,draft,"Departed Zoo Atlanta for China on 2024-10-12."
mei-lan,美兰,Mei Lan,male,2006-09-06,day,September 6 2006,,alive,"Zoo Atlanta","Chengdu Research Base of Giant Panda Breeding, China",yang-yang,lun-lun,"First cub of Lun Lun and Yang Yang born at Zoo Atlanta.","zoo-atlanta;returned-to-china",false,src_zooatlanta_lun_lun;src_zooatlanta_yang_yang;src_zooatlanta_departure_twins,verified,draft,""
xi-lan,喜兰,Xi Lan,male,2008-08-30,day,August 30 2008,,alive,"Zoo Atlanta","Chengdu Research Base of Giant Panda Breeding, China",yang-yang,lun-lun,"Second cub of Lun Lun and Yang Yang born at Zoo Atlanta.","zoo-atlanta;returned-to-china",false,src_zooatlanta_lun_lun;src_zooatlanta_yang_yang;src_zooatlanta_departure_twins,verified,draft,""
