source_id,source_type,publisher,title,url,published_date,accessed_at,reliability,allowed_use,notes
src_commons_yang_yang_photo,media_repository,Wikimedia Commons,Yang Yang at Zoo Atlanta,https://commons.wikimedia.org/wiki/File:Yang_Yang_at_Zoo_Atlanta.jpg,2022-02-08,2026-07-20,media_rights_record,licensed_media_only,"Individual identification, author O01326, and CC BY-SA 4.0 license record."
src_commons_ya_lun_photo,media_repository,Wikimedia Commons,Ya Lun at Zoo Atlanta,https://commons.wikimedia.org/wiki/File:Ya_Lun_at_Zoo_Atlanta.jpg,2022-02-08,2026-07-20,media_rights_record,licensed_media_only,"Individual identification, author O01326, and CC BY-SA 4.0 license record."
src_commons_xi_lun_photo,media_repository,Wikimedia Commons,Xi Lun at Zoo Atlanta,https://commons.wikimedia.org/wiki/File:Xi_Lun_at_Zoo_Atlanta.jpg,2022-02-08,2026-07-21,media_rights_record,licensed_media_only,"Exact-title Action API review confirms Xi Lun, uploader O01326, own-work credit, CC BY-SA 4.0, required attribution, dimensions 5472 by 3648, source bytes 18204374, and source SHA-1 e96415ba1e422405fe36278029dc211005971170."
src_zooatlanta_2026_pair,official_news,Zoo Atlanta,Two new giant pandas are expected to arrive at Zoo Atlanta,https://zooatlanta.org/press-release/two-new-giant-pandas-are-expected-to-arrive-at-zoo-atlanta/,2026-04-23,2026-05-09,primary_fact,profile_facts_only,Current 2026 expected pair names Ping Ping and Fu Shuang.
src_zooatlanta_2026_faq,official_profile,Zoo Atlanta,FAQs: Giant Panda Program at Zoo Atlanta,https://zooatlanta.org/panda-cam/faqs-giant-panda/,,2026-05-10,primary_fact,profile_facts_only,"Ping Ping and Fu Shuang sexes, exact birth dates, and Chengdu origin."
src_oceanpark_twins_birth,official_news,Ocean Park Hong Kong,Ocean Park welcomes Hong Kong-born giant panda twins,https://www.oceanpark.com.hk/en/press-release/ocean-park-welcomes-hong-kong-born-giant-panda-twins-given-birth-ying-ying-world-s,2024-08-15,2026-05-09,primary_fact,profile_facts_only,"Hong Kong twin birth date, sexes, and mother Ying Ying."
src_oceanpark_twins_named,official_news,Ocean Park Hong Kong,Hong Kong celebrates as giant panda twin cubs officially named Jia Jia and De De,https://www.oceanpark.com.hk/en/press-release/hong-kong-celebrates-as-giant-panda-twin-cubs-at-ocean-park-officially-named-as-jia,2025-05-27,2026-05-09,primary_fact,profile_facts_only,"Jia Jia/De De names, sexes, mother, birth date, and weight update."
src_oceanpark_birthday_2025,official_news,Ocean Park Hong Kong,Ocean Park marks giant pandas Ying Ying and Le Le's 20th birthdays,https://www.oceanpark.com.hk/en/press-release/ocean-park-marks-giant-pandas-ying-ying-le-les-20th-birthdays-with-delicious,2025-08-07,2026-05-09,primary_fact,profile_facts_only,Ying Ying and Le Le 20th birthday confirmation.
src_oceanpark_ananke_arrival,official_news,Ocean Park Hong Kong,New wave of panda fever sweeps through Hong Kong as two new giant pandas arrive,https://www.oceanpark.com.hk/en/press-release/new-wave-of-panda-fever-sweeps-through-hong-kong-as-two-new-giant-pandas-arrive,2024-09-26,2026-05-09,primary_fact,profile_facts_only,An An and Ke Ke arrival date and age.
src_oceanpark_ananke_names,official_profile,Ocean Park Hong Kong,Results of the Giant Panda Naming Competition,https://www.oceanpark.com.hk/en/park-experience/giant-panda-campaign-2024/naming-competition-2024,2024-10-02,2026-05-09,primary_fact,profile_facts_only,An An male and Ke Ke female names.
src_everland_fubao_first_birthday,official_news,Samsung C&T Newsroom,Baby panda Fu Bao celebrates her first birthday,https://news.samsungcnt.com/en/features/resort/2021-08-baby-panda-fu-bao-celebrates-first-birthday/,2021-08-03,2026-05-09,primary_fact,profile_facts_only,"Fu Bao birth date, mother Ai Bao, and birth weight."
src_everland_twins_birth,official_news,Samsung C&T Newsroom,It's two girls! Panda twins born at Everland,https://news.samsungcnt.com/en/features/resort/2023-07-its-two-girls-panda-twins-born-at-everland/,2023-07-13,2026-05-09,primary_fact,profile_facts_only,"Everland twin birth date, sexes, parents, and Fu Bao older-sister context."
src_everland_twins_named,official_news,Samsung C&T Newsroom,Wise and shining treasures: Twin pandas named,https://news.samsungcnt.com/en/features/resort/2023-10-wise-shining-treasures-twin-pandas-named/,2023-10-17,2026-05-09,primary_fact,profile_facts_only,Lui Bao and Hui Bao official names.
src_china_gov_fubao_public,government_media,English Gov.cn / Xinhua,Giant panda star Fu Bao greets the public in southwest China,https://english.www.gov.cn/news/202406/13/content_WS666a5d08c6d0868f4e8e80d4.html,2024-06-13,2026-05-09,primary_fact,profile_facts_only,Fu Bao Shenshuping public debut and China return context.
src_china_gov_belgium_return,government_media,English Gov.cn / Xinhua,Three giant pandas born in Belgium return to China,https://english.www.gov.cn/news/202412/11/content_WS675906aec6d0868f4e8eddc0.html,2024-12-11,2026-05-09,primary_fact,profile_facts_only,"Tian Bao, Bao Di, and Bao Mei return to Bifengxia."
src_pairi_tianbao_birthday,official_news,Pairi Daiza,Tian Bao celebrates his 8th birthday,https://www.pairidaiza.eu/en/tian-bao-fete-son-8e-anniversaire/,,2026-05-09,primary_fact,profile_facts_only,Tian Bao birthday context and Belgium-born return plan.
src_pairi_twins_named,official_news,Pairi Daiza,Hao Hao will soon return to China for specialized medical care,https://www.pairidaiza.eu/en/news/animals-conservation/hao-hao-the-female-giant-panda-of-pairi-daiza-will-soon-return-to-china-to-receive-specialized-medical-care/,2025-10-31,2026-05-09,primary_fact,profile_facts_only,"Hao Hao, Tian Bao, Bao Di, Bao Mei, Xing Hui, and Belgium-born family context."
src_chinadaily_haohao_return_2025,government_media,China Daily,Panda Hao Hao returns to China from Belgium for treatment,https://www.chinadaily.com.cn/a/202512/04/WS693152ffa310d6866eb2cebe.html,2025-12-04,2026-05-10,primary_fact,profile_facts_only,Hao Hao returned from Pairi Daiza to Sichuan and was transferred to CCRCGP Wolong Shenshuping Base.
src_xinhua_hehua_birthday,newswire,Xinhua via China Youth Online,大熊猫龙凤胎姐弟和花和叶生日会,https://m.cyol.com/gb/articles/2022-07/05/content_035qJUvQg.html,2022-07-05,2026-05-09,secondary_confirmation,profile_facts_only,He Hua and He Ye birth date; still needs holder/studbook source before approval.
src_chinadaily_hehua_birthday,newswire,China Daily,成都：大熊猫和花和和叶庆祝三周岁生日,https://cn.chinadaily.com.cn/a/202307/04/WS64a3c4b6a310ba94c5614c81.html,2023-07-04,2026-05-09,secondary_confirmation,profile_facts_only,He Hua and He Ye birthday confirmation; still needs official holder source.
src_beauval_cubs_2021,official_profile,ZooParc de Beauval,Panda cubs 2021,https://www.zoobeauval.com/en/giant-panda-twin-cubs-2021,,2026-05-09,primary_fact,profile_facts_only,"Huan Huan, Yuan Zi, Yuan Meng birth dates, origin, and family context."
src_beauval_saga,official_profile,ZooParc de Beauval,Panda saga,https://www.zoobeauval.com/en/zooparc/saga-des-pandas,,2026-05-09,primary_fact,profile_facts_only,"Yuan Meng birth, 2021 twin birth/naming, Yuan Meng China departure, and 2025 Huan Huan/Yuan Zi return."
src_ueno_viewing_2024,official_profile,Tokyo Zoological Park Society,How to view Giant Panda,https://www.tokyo-zoo.net/en/topics/news/ueno/522_28525_2024-05-09.html,2024-04-15,2026-05-09,primary_fact,profile_facts_only,"Ri Ri, Shin Shin, Xiao Xiao, and Lei Lei birth dates, sexes, and Ueno status."
src_ueno_xiangxiang_return,official_news,Tokyo Zoological Park Society,Information on how to view Giant Panda Xiang Xiang,https://www.tokyo-zoo.net/en/topics/news/ueno/1106_27744_2022-12-23.html,2022-12-23,2026-05-09,primary_fact,profile_facts_only,"Xiang Xiang birth date, sex, and 2023 China return."
src_ueno_return_riri_shinshin,official_news,Tokyo Zoological Park Society,Regarding the return of Giant Panda Ri Ri and Shin Shin,https://www.tokyo-zoo.net/en/topics/news/ueno/355_28750_2024-09-29.html,2024-08-30,2026-05-09,primary_fact,profile_facts_only,Ri Ri and Shin Shin return context; Xiao Xiao/Lei Lei remained at Ueno under agreement.
src_ueno_xiaolei_return_2026,official_news,Tokyo Zoological Park Society,Giant Panda Xiao Xiao and Lei Lei arrive at the Ya'an Base,https://www.tokyo-zoo.net/en/ueno/news/5238/index.html,2026-01-28,2026-05-10,primary_fact,profile_facts_only,Xiao Xiao and Lei Lei arrived safely at CCRCGP Ya'an Base on 2026-01-28.
src_tokyo_zoo_ueno_about,official_profile,Tokyo Zoological Park Society,About Ueno Zoo,https://www.tokyo-zoo.net/en/ueno/about/index.html,,2026-05-10,primary_fact,profile_facts_only,Official Ueno Zoo history confirming 1972 giant panda arrival context and later Ling Ling era summary.
src_tokyo_zoo_ueno_panda_history,official_profile,Tokyo Zoological Park Society,Past giant pandas kept at Ueno Zoo,https://www.tokyo-zoo.net/ueno/panda/history/index.html,,2026-05-10,primary_fact,profile_facts_only,"Official Ueno Zoo panda history page with names, sexes, birth dates, arrival/return dates, and death dates for Ueno's historic giant pandas."
src_icom_ueno_panda_forest,institution_article,ICOM Japan,Ueno Zoological Gardens: The Opening of the New Breeding and Exhibition Facility Panda Forest,https://icomjapan.org/en/updates/2021/07/07/p-2452/,2021-07-07,2026-05-10,primary_fact,profile_facts_only,"Ueno curator article confirming Kang Kang/Lan Lan, Fei Fei/Huan Huan, Tong Tong and You You history."
src_gpg_ueno_profiles,secondary_database,Giant Panda Global,Ueno Zoo giant pandas,https://www.giantpandaglobal.com/en/zoo/ueno-zoo,,2026-05-10,secondary_confirmation,profile_facts_only,Ueno previous and current panda list with birth dates and deceased status; use as secondary confirmation.
src_adventure_profiles,official_profile,Adventure World,Panda Profiles,https://www.aws-s.com/en/panda_breeding_and_research/en/history/individuals.html,,2026-05-09,primary_fact,profile_facts_only,"Adventure World panda family profiles including dates, sexes, and return/death status."
src_adventure_naming,official_profile,Adventure World,Naming the Pandas,https://www.aws-s.com/panda_breeding_and_research/en/media/naming.html,,2026-05-09,primary_fact,profile_facts_only,Birth dates and sexes for Adventure World cubs selected through public naming.
src_adventure_timeline,official_profile,Adventure World,Timeline,https://www.aws-s.com/en/panda_breeding_and_research/en/history/development.html,,2026-05-09,primary_fact,profile_facts_only,Adventure World breeding and China return timeline.
src_adventure_return_2025,official_news,Adventure World,Four giant pandas arrived at Chengdu base,https://www.aws-s.com/en/panda_breeding_and_research/news/detail.php?id=34,2025-06-30,2026-05-09,primary_fact,profile_facts_only,"Rauhin, Yuihin, Saihin, and Fuhin arrived in Chengdu after 2025 return."
src_gpg_adventure_profiles,secondary_database,Giant Panda Global,Adventure World giant pandas,https://www.giantpandaglobal.com/en/zoo/adventure-world,,2026-05-10,secondary_confirmation,profile_facts_only,Adventure World historical and returned panda list with current facilities; use as secondary confirmation.
src_berlin_panda_garden,official_profile,Zoo Berlin,Panda Garden,https://www.zoo-berlin.de/en/animals/panda-garden,,2026-05-09,primary_fact,profile_facts_only,Meng Meng and Jiao Qing birth dates plus current Berlin panda family.
src_berlin_twins_named,official_news,Zoo Berlin,Naming Ceremony of Panda Twins at Zoo Berlin,https://www.zoo-berlin.de/en/latest/news/detail/feierliche-panda-namensverkuendung-im-zoo-berlin,2024-12-06,2026-05-09,primary_fact,profile_facts_only,"Meng Hao/Leni and Meng Tian/Lotti names, birth times, and parent context."
src_berlin_2019_birth,official_news,Zoo Berlin,Twin bundles of joy,https://www.zoo-berlin.de/en/news/zoo-news/detail/twin-bundles-of-joy,2019-09-02,2026-05-09,primary_fact,profile_facts_only,2019 Germany-first panda twin birth to Meng Meng and Jiao Qing.
src_berlin_2019_return_context,official_news,Zoo Berlin,Pandas on the move,https://www.zoo-berlin.de/en/latest/news/detail/pandas-on-the-move,,2026-05-09,primary_fact,profile_facts_only,Meng Xiang and Meng Yuan context and parentage.
src_ouwehands_fanxing_departure,official_news,Ouwehands Dierenpark,Reuzenpanda Fan Xing vertrekt naar China,https://www.ouwehand.nl/nl/nieuws/reuzenpanda-fan-xing-vertrekt-naar-china,2023-08-24,2026-05-09,primary_fact,profile_facts_only,"Fan Xing birth date, corrected female sex, parent names, and China departure."
src_ouwehands_arrival_2017,official_news,Ouwehands Dierenpark,Hoe gaat het met reuzenpandas Xing Ya en Wu Wen,https://www.ouwehand.nl/nl/nieuws/hoe-gaat-het-met-reuzenpandars-xing-ya-en-wu-wen,2017-07-14,2026-05-09,primary_fact,profile_facts_only,Xing Ya male and Wu Wen female context after 2017 arrival.
src_ouwehands_langyue_birth,official_news,Ouwehands Dierenpark,Weer een reuzenpandajong geboren in Ouwehands Dierenpark,https://www.ouwehand.nl/nl/nieuws/weer-een-reuzenpandajong-geboren-in-ouwehands-dierenpark,2024-07-15,2026-05-10,primary_fact,profile_facts_only,Wu Wen gave birth to a surviving cub and a second non-surviving cub on 2024-07-12 after mating with Xing Ya.
src_ouwehands_langyue_name,official_news,Ouwehands Dierenpark,Naam pandajong Ouwehands Dierenpark bekend,https://www.ouwehand.nl/nl/nieuws/naam-pandajong-ouwehands-dierenpark-bekend,2024-10-21,2026-05-10,primary_fact,profile_facts_only,"Lang Yue name, 2024-07-12 birth date, naming date, and gender-neutral naming context."
src_ouwehands_langyue_public_debut,official_news,Ouwehands Dierenpark,Pandajong Lang Yue laat zich deze week zien,https://www.ouwehand.nl/nl/nieuws/pandajong-lang-yue-laat-zich-deze-week-zien-in-ouwehands-dierenpark,2025-01-13,2026-05-10,primary_fact,profile_facts_only,Lang Yue first public viewing date and DNA sex-test context before public reveal.
src_madrid_family_farewell,official_profile,Zoo Aquarium Madrid,Say goodbye to the panda bears,https://www.zoomadrid.com/en/despidete-pandas,,2026-05-09,primary_fact,profile_facts_only,Madrid family return plan and family members.
src_madrid_birthdays_2016,official_news,Zoo Aquarium Madrid,Celebra el cumpleanos de la familia panda,https://www.zoomadrid.com/blog/celebra-el-cumpleanos-de-la-familia-panda-en-zoo-aquarium-de-madrid,2016-09-01,2026-05-09,primary_fact,profile_facts_only,Hua Zui Ba and Bing Xing birth dates plus Chulina and Xing Bao dates.
src_madrid_chulina_birthday,official_news,Zoo Aquarium Madrid,Zoo Aquarium de Madrid celebra el segundo cumpleanos de Chulina,https://www.zoomadrid.com/sala-de-prensa/buscador-prensa/zoo-aquarium-madrid-segundo-cumpleanos-chulina-cria-panda,2018-09-05,2026-05-09,primary_fact,profile_facts_only,"Chulina birth date, sex, and parents."
src_madrid_twins_named,official_news,Zoo Aquarium Madrid,El alcalde de Madrid y la Embajada china apadrinan los gemelos panda,https://www.zoomadrid.com/sala-de-prensa/buscador-prensa/alcalde-madrid-embajada-china-apadrinan-gemelos-panda-zoo-aquarium-madrid,2021-12-18,2026-05-09,primary_fact,profile_facts_only,You You and Jiu Jiu official names and 2021 birth date.
src_madrid_twins_sex,official_news,Zoo Aquarium Madrid,Se abre la votacion de nombres para los gemelos panda nacidos en Zoo Aquarium Madrid,https://www.zoomadrid.com/sala-de-prensa/buscador-prensa/votacion-nombres-gemelos-panda-nacidos-zoo-aquarium-madrid,2021-11-06,2026-05-09,primary_fact,profile_facts_only,Madrid panda cub list and historical birth dates.
src_madrid_return_2024,official_news,Zoo Aquarium Madrid,El viaje de la familia panda del Zoo de Madrid a Chengdu,https://www.zoomadrid.com/sala-de-prensa/buscador-prensa/el-viaje-de-la-familia-panda-del-zoo-de-madrid-a-chengdu-en-vuelo-directo-con-todas-las-comodidades,2024-02-29,2026-05-09,primary_fact,profile_facts_only,Five Madrid pandas returned to Chengdu on 2024-02-29.
src_adelaide_birthdays,official_news,Adelaide Zoo,Pand-tastic picnic for our favourite Giant Panda bears,https://www.adelaidezoo.com.au/panda-picnic/,2022-08-28,2026-05-09,primary_fact,profile_facts_only,Wang Wang and Fu Ni birthdays and Adelaide context.
src_adelaide_new_pandas,government_media,Premier of South Australia,New pandas welcomed at Adelaide Zoo,https://www.premier.sa.gov.au/media-releases/news-archive/new-pandas-welcomed-at-adelaide-zoo,,2026-05-09,primary_fact,profile_facts_only,"Xing Qiu and Yi Lan sexes, birth years, and Adelaide public debut."
src_adelaide_new_arrival,government_media,Premier of South Australia,SA welcomes new pandas Xing Qiu and Yi Lan,https://premier.sa.gov.au/media-releases/news-archive/sa-welcomes-new-pandas-xing-qiu-and-yi-lan-to-their-new-home-at-adelaide-zoos-bamboo-forest,,2026-05-09,primary_fact,profile_facts_only,"Xing Qiu and Yi Lan arrival, prior bases, and name meanings."
src_adelaide_pair_profile,official_profile,Adelaide Zoo,Giant Panda - Xing Qiu and Yi Lan,https://www.adelaidezoo.com.au/animals/giant-panda-xing-qiu-and-yi-lan/,,2026-05-10,primary_fact,profile_facts_only,"Adelaide Zoo profile for Xing Qiu and Yi Lan, public viewing from 2025-01-21, sexes, ages, and name meanings."
src_gpg_adelaide_profiles,secondary_database,Giant Panda Global,Adelaide Zoo giant pandas,https://www.giantpandaglobal.com/en/zoo/adelaide-zoo,,2026-05-10,secondary_confirmation,profile_facts_only,Adelaide Zoo current and previous panda list with exact dates and transfer timing; use as secondary confirmation.
src_edinburgh_pandas_profile,official_profile,Edinburgh Zoo,Giant pandas,https://www.edinburghzoo.org.uk/animals/pandas,,2026-05-09,primary_fact,profile_facts_only,Yang Guang and Tian Tian Edinburgh timeline including 2011 arrival and 2023 departure.
src_edinburgh_departure_2023,official_news,Royal Zoological Society of Scotland,Edinburgh Zoo giant pandas leave zoo and board flight to China,https://www.rzss.org.uk/news/edinburgh-zoos-giant-pandas-leave-zoo-and-board-flight-china,2023-12-04,2026-05-09,primary_fact,profile_facts_only,Yang Guang and Tian Tian departed Edinburgh Zoo for China on 2023-12-04.
src_edinburgh_yangguang_birthday,official_news,Edinburgh Zoo,Edinburgh children celebrate giant panda final birthday in UK,https://www.edinburghzoo.org.uk/news/edinburgh-children-celebrate-giant-pandas-final-birthday-uk,2023-08-15,2026-05-09,primary_fact,profile_facts_only,Yang Guang 20th birthday confirmation.
src_gpg_edinburgh_profiles,secondary_database,Giant Panda Global,RZSS Edinburgh Zoo giant pandas,https://www.giantpandaglobal.com/en/zoo/rzss-edinburgh-zoo,,2026-05-10,secondary_confirmation,profile_facts_only,"Yang Guang and Tian Tian birth dates, birth bases, 2011 arrival, and 2023 previous-holder context; use as secondary confirmation."
src_memphis_pandas_memorial,official_profile,Memphis Zoo,Memphis Loves Pandas,https://www.memphiszoo.org/pandas,,2026-05-09,primary_fact,profile_facts_only,Ya Ya and Le Le Memphis residency and Ya Ya 2023 China departure context.
src_chinadaily_yaya_return,government_media,China Daily / Xinhua,Giant panda Ya Ya to return to China,https://www.chinadaily.com.cn/a/202304/24/WS6445e6b4a310b6054facf616.html,2023-04-24,2026-05-09,primary_fact,profile_facts_only,Ya Ya Beijing Zoo birth date and 2023 return context.
src_chinaorg_lele_death,government_media,China.org.cn / China Daily,Heart disease likely cause of giant panda Le Le death,https://www.china.org.cn/world/2023-02/26/content_85129034.htm,2023-02-26,2026-05-09,primary_fact,profile_facts_only,Le Le death cause context from joint autopsy reporting.
src_ap_lele_death,newswire,Associated Press,Giant panda Le Le dies after 20 years at Memphis Zoo,https://apnews.com/article/dd4c68783a86ffb072a81145905097b6,2023-02-03,2026-05-09,secondary_confirmation,profile_facts_only,Le Le birth date and reported death timing; reconcile exact death date before approval.
src_visitbeijing_menglan_diandian,government_media,Visit Beijing,北京动物园新成员——国宝萌兰、点点的日常,https://www.visitbeijing.com.cn/article/47Qs7JqfDNR,2017-11-20,2026-05-09,primary_fact,profile_facts_only,"Meng Lan and Dian Dian birth dates, sexes, studbook numbers, and Beijing Zoo display context."
src_visitbeijing_beijing_zoo_family_2023,government_media,Visit Beijing / Beijing Daily,丫丫回家北京动物园大熊猫全家福更新,https://www.visitbeijing.com.cn/article/4D6SNGKwWak,2023-05-30,2026-05-10,primary_fact,profile_facts_only,"Beijing Zoo 2023 resident panda family guide with birthdays, sexes, parents, and exhibit halls."
src_sichuan_beijing_panda_transfer_2025,government_media,Sichuan Online / Beijing Zoo Weibo,大熊猫萌宝萌玉已从北京顺利抵川开启新生活,https://sichuan.scol.com.cn/ggxw/202509/83127544.html,2025-09-26,2026-05-10,primary_fact,profile_facts_only,Meng Bao and Meng Yu arrived in Sichuan on 2025-09-25; Ji Nian and Fu Jiang arrived at Beijing Zoo on 2025-09-06.
src_xinhua_katyusha_birth,newswire,Xinhua via Belt and Road Portal,Giant panda cub born at Moscow Zoo,https://eng.yidaiyilu.gov.cn/p/0LFCP1LS.html,2023-08-31,2026-05-09,primary_fact,profile_facts_only,Russia first panda cub birth to Ru Yi and Ding Ding at Moscow Zoo.
src_xinhua_katyusha_named,newswire,Xinhua,Russia first panda cub named Katyusha,https://english.news.cn/20240103/f1daab7a530842d28773aae52993a671/c.html,2024-01-03,2026-05-09,primary_fact,profile_facts_only,"Katyusha name, parents, and Moscow Zoo context."
src_ecns_katyusha_birthday,newswire,ECNS,Moscow Zoo celebrates 2nd birthday of first giant panda born in Russia,https://www.ecns.cn/news/cns-wire/2025-08-25/detail-iheursku1440067.shtml,2025-08-25,2026-05-09,primary_fact,profile_facts_only,Katyusha exact birth date and parent confirmation.
src_xinhua_moscow_birthdays,newswire,Xinhua,Birthdays of two giant pandas celebrated at Moscow Zoo,https://english.news.cn/europe/20220801/9868c9a9bb6b42d5a310e7f5d9770ab7/c.html,2022-08-01,2026-05-10,primary_fact,profile_facts_only,"Ru Yi and Ding Ding exact birth dates, sexes, Moscow Zoo status, and 2019 arrival context."
src_gpg_moscow_profiles,secondary_database,Giant Panda Global,Moscow Zoo giant pandas,https://www.giantpandaglobal.com/en/zoo/moscow-zoo,,2026-05-10,secondary_confirmation,profile_facts_only,"Moscow Zoo current and historical panda list including previous Ping Ping, Chi Chi, An An, Wen Wen, and Yuan Yuan."
src_vienna_current_pair,official_profile,Vienna Zoo,The Giant Pandas are back,https://www.zoovienna.at/en/tiere-und-anlagen/giant-pandas-are-back/,,2026-05-09,primary_fact,profile_facts_only,"Lan Yun and He Feng sexes, birth year, and Vienna Zoo current display."
src_vienna_panda_baby,official_news,Vienna Zoo,Panda baby at Schoenbrunn zoo,https://www.zoovienna.at/en/zoo-and-visitors/panda-baby-schonbrunn-zoo/,,2026-05-09,primary_fact,profile_facts_only,"Fu Long, Fu Hu, and Fu Bao Vienna birth dates plus Yang Yang and Long Hui parentage."
src_vienna_fulong_fuhu_birthday,official_news,Vienna Zoo,Happy Birthday Fu Long and Fu Hu,https://www.zoovienna.at/de/news/happy-birthday-fu-long-fu-hu/,2013-08-23,2026-05-09,primary_fact,profile_facts_only,Fu Long and Fu Hu birth dates and China transfer context.
src_vienna_fubao_birthday,official_news,Vienna Zoo,Fu Bao feiert ersten Geburtstag,https://www.zoovienna.at/news/fu-bao-feiert-ersten-geburtstag/,2014-08-14,2026-05-09,primary_fact,profile_facts_only,Fu Bao Vienna birth date and name context.
src_vienna_pandas_overview,official_profile,Vienna Zoo,Die Grossen Pandas in Schoenbrunn,https://www.zoovienna.at/tiere-und-anlagen/die-pandas-im-tiergarten-schonbrunn/,,2026-05-10,primary_fact,profile_facts_only,"Official Vienna Zoo panda overview with birth dates for Yang Yang, Yuan Yuan, Long Hui, and Long Hui death date."
